,category_id,description,category_path
0,388,Americolor Soft Gel Paste 4.5 oz. - Violet - violet,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
1,388,Americolor Tulip Red Soft Gel Paste 13.5 Ounces,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
2,388,Americolor Maroon Soft Gel Paste 4.5 Ounces,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
3,388,Americolor Soft Gel Paste .75 oz Soft Pink Color,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
4,388,Squires Kitchen Food Colouring Dust 4g Pot - Pearl,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
5,388,"Durkee Red Food Color, 16-Ounce Containers (Pack of 3)",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
6,388,AmeriColor Junior Soft Gel Paste Food Color 8 Pack Kit Kitchen,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
7,388,Badia Yellow Coloring Bottle 1.75 OZ,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
8,388,"Betty Crocker Halloween Gel Food Colors - Black, Purple, Green, Orange, 2.7 oz.",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
9,388,"Americolor Soft Gel Paste Food Color, .75-Ounce, Regal Purple",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
10,388,"Chefmaster Liqua-Gel Color, 10.5 Ounce: Red Red",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
11,388,Americolor Food Color Super Black 13.5 Oz New,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
12,388,Americolor Electric Orange Soft Gel Paste .75 Oz,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
13,388,Americolor Candy Oil - VIOLET 2 OUNCE CANDY OIL COLOR,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
14,388,"Americolor 4-Color Soft Gel Paste Food Color Kit, .7-Ounce,",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
15,388,Cake Art - Gel Paste 4.5 OZ Super Black,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
16,388,Americolor Ivory Soft Gel Paste 13.5 Ounce Soft Gel Food Color,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
17,388,Neon Purple Green Pink Blue 4-pack Food Color by McCormick,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
18,388,Americolor - 4.5 Oz - Peach Color by AmeriColor,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
19,388,DNA Formulas Whole Food Multivitamin 120 Capsules Enhanced Bioavailable Whole Food Multivitamin For Men & Women No Artificial Colors or Preservatives,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
20,388,ROYAL BLUE .75 Ounce Soft Gel Paste Food Color,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
21,388,"Americolor Powder Food Color, 3gm, Blue",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
22,388,Americolor Turquoise Soft Gel Paste,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
23,388,AmeriColor Soft gel paste Sky Blue .75 oz. bottle GP103,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
24,388,Americolor Dusty Rose Soft Gel Paste 4.5 Ounces,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
25,388,"Wilton Icing Colors, 1-Ounce, Burgundy",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
26,388,AmeriColor Soft Gel Paste Orange .75 oz,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
27,388,"Durkee Food Color, Red, 32-Ounce",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
28,388,"Chefmaster Liquid Candy Color, 2-Ounce, Red",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
29,388,"AmeriColor #2 Color Kit, Soft Gel Paste Food Color, 12 Pack",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
30,388,Americolor Ultimate 16 Color Set - 4.5oz Soft Gel Paste Colors Cake Decorating Food Color Kit includes the top 16 colors,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
31,388,AmeriColor Amerimist,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
32,388,"Alfie Pet by Petoga Couture - Kerry Run-About Small Animal Exercise Ball (for Hamster and Mouse) with Food Scoop Set - Color: Blue, Size: Small (4.75",Grocery & Gourmet Food > Cooking & Baking > Food Coloring
33,388,Sugarflair Spectral,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
34,388,PME Sugarcraft Lustre Spray - Baby Blue,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
35,388,Americolor Food Color,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
36,388,WARM BROWN SOFT GEL PASTE 4.5 OZ Cake Decorating,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
37,388,BRIGHT WHITE SOFT GEL PASTE 6oz. Cake Decorating,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
38,388,Americolor Amerimist Edible,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
39,388,Ateco 1112 12-Color Food Coloring Kit,Grocery & Gourmet Food > Cooking & Baking > Food Coloring
